Symbol,Company Name
EVBN,"Evans Bancorp, Inc. Common Stock"
EVC,Entravision Communications Corporation Common Stock
EVER,"EverQuote, Inc. "
EVF,Eaton Vance Senior Income Trust Common Stock
EVFM,"Evofem Biosciences, Inc. "
EVFTC,Eaton Vance NextShares Trust II 
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest
EVGBC,Eaton Vance NextShares Trust 
EVGN,Evogene Ltd. 
EVH,"Evolent Health, Inc Class A Common Stock"
EVI,"EVI Industries, Inc.  Common Stock"
EVIX,VelocityShares 1x Long VSTOXX Futures ETN
EVK,Ever
EVLMC,Eaton Vance NextShares Trust II 
EVLO,"Evelo Biosciences, Inc. "
EVLV,EVINE Live Inc. 
EVM,"Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest, $.01 par value"
EVN,Eaton Vance Municipal Income Trust Common Stock
EVOK,"Evoke Pharma, Inc. "
EVOL,"Evolving Systems, Inc. "
EVOP,"EVO Payments, Inc. "
EVR,Evercore Inc. Class A Common Stock
EVRG,"Evergy, Inc. Common Stock"
EVRI,Everi Holdings Inc. Common Stock
EVSTC,Eaton Vance NextShares Trust 
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest
EVTC,"Evertec, Inc. Common Stock"
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest
EVX,VanEck Vectors Environmental Services ETF
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest
EW,Edwards Lifesciences Corporation Common Stock
EWA,iShares MSCI Australia Index Fund
EWBC,"East West Bancorp, Inc. "
EWC,iShares MSCI Canada Index Fund
EWCO,Invesco S&P 500 Equal Weight Communication Services ETF
EWD,iShares Inc iShares MSCI Sweden ETF
EWEM,Invesco MSCI Emerging Markets Equal Country Weight ETF
EWG,iShares MSCI Germany Index Fund
EWGS,Ishares MSCI Germany Small Cap ETF
EWH,iShares MSCI Hong Kong Index Fund
EWI,iShares Inc iShares MSCI Italy ETF
EWJ,iShares MSCI Japan Index Fund
EWJE,iShares MSCI Japan Equal Weighted ETF
EWJV,iShares MSCI Japan Value ETF
EWK,iShares Inc iShares MSCI Belgium ETF
EWL,iShares Inc iShares MSCI Switzerland ETF
EWM,iShares MSCI Malaysia Index Fund
EWMC,Invesco S&P MidCap 400 Equal Weight ETF
EWN,iShares MSCI Netherlands Index Fund
EWO,iShares Inc iShares MSCI Austria ETF
EWP,iShares Inc iShares MSCI Spain ETF
EWQ,iShares MSCI France Index Fund
EWRE,Invesco S&P 500 Equal Weight Real Estate ETF
EWS,iShares Inc iShares MSCI Singapore ETF
EWSC,Invesco S&P SmallCap 600 Equal Weight ETF
EWT,iShares Inc iShares MSCI Taiwan ETF
EWU,iShares MSCI United Kingdom ETF
EWUS,Ishares MSCI United Kingdom Small Cap ETF
