Symbol,Company Name
ISG,"ING Group, N.V. Perpetual Dent Secs 6.125%"
ISHG,iShares 1
ISIG,"Insignia Systems, Inc. "
ISMD,Inspire Small/Mid Cap Impact ETF
ISNS,"Image Sensing Systems, Inc. "
ISR,"IsoRay, Inc. Common Stock (DE)"
ISRA,VanEck Vectors Israel ETF
ISRG,"Intuitive Surgical, Inc. "
ISRL,"Isramco, Inc. "
ISSC,"Innovative Solutions and Support, Inc. "
ISTB,iShares Core 1
ISTR,Investar Holding Corporation 
ISZE,iShares Edge MSCI Intl Size Factor ETF
IT,"Gartner, Inc. Common Stock"
ITA,iShares U.S. Aerospace & Defense ETF
ITB,iShares U.S. Home Construction ETF
ITCB,"Itau CorpBanca American Depositary Shares (each representing 1,500 shares of Common Stock, no par value)"
ITCI,Intra
ITE,SPDR Bloomberg Barclays Intermediate Term Treasury ETF
ITEQ,BlueStar Israel Technology ETF
ITGR,Integer Holdings Corporation Common Stock
ITI,"Iteris, Inc. "
ITIC,Investors Title Company 
ITM,VanEck Vectors AMT
ITMR,Itamar Medical Ltd. 
ITOT,iShares Core S&P Total U.S. Stock Market ETF
ITP,"IT Tech Packaging, Inc. Common Stock"
ITRI,"Itron, Inc. "
ITRM,Iterum Therapeutics plc 
ITRN,Ituran Location and Control Ltd. 
ITT,ITT Inc. Common Stock 
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
ITW,Illinois Tool Works Inc. Common Stock
IUS,Invesco RAFI Strategic US ETF
IUSB,iShares Core Total USD Bond Market ETF
IUSG,iShares Core S&P U.S. Growth ETF
IUSS,Invesco RAFI Strategic US Small Company ETF
IUSV,iShares Core S&P U.S. Value ETF
IVAC,"Intevac, Inc. "
IVAL,Alpha Architect International Quantitative Value ETF
IVC,Invacare Corporation Common Stock
IVE,iShares S&P 500 Value ETF
IVENC,Ivy NextShares 
IVFGC,Ivy NextShares 
IVFVC,Ivy NextShares 
IVH,Ivy High Income Opportunities Fund Common Shares of Beneficial Interest
IVLU,iShares Edge MSCI Intl Value Factor ETF
IVOG,Vanguard S&P Mid
IVOO,Vanguard S&P Mid
IVOV,Vanguard S&P Mid
IVR,INVESCO MORTGAGE CAPITAL INC Common Stock
IVR$A,Invesco Mortgage Capital Inc. Pfd Ser A
IVR$B,Invesco Mortgage Capital Inc. Preferred Series B Cum Fxd to Fltg
IVR$C,INVESCO MORTGAGE CAPITAL INC 7.5% Fixed
IVV,iShares Core S&P 500 ETF
IVW,iShares S&P 500 Growth ETF
IVZ,Invesco Ltd Common Stock
IWB,iShares Russell 1000 ETF
IWC,iShares Microcap ETF
IWD,iShares Russell 1000 Value ETF
IWF,iShares Russell 1000 Growth ETF
IWL,iShares Russell Top 200 ETF
IWM,iShares Russell 2000 ETF
IWN,iShares Russell 2000 Value ETF
IWO,iShares Russell 2000 Growth ETF
IWP,iShares Russell Midcap Growth ETF
IWR,iShares Russell Mid
IWS,iShares Russell Mid
IWV,iShares Russell 3000 ETF
IWX,iShares Russell Top 200 Value ETF
IWY,iShares Russell Top 200 Growth ETF
IX,Orix Corp Ads Common Stock
IXC,iShares Global Energy ETF
IXG,iShares Global Financial ETF
IXJ,iShares Global Healthcare ETF
IXN,iShares Global Tech ETF
IXP,iShares Global Comm Services ETF
IXUS,iShares Core MSCI Total International Stock ETF
IYC,iShares U.S. Consumer Services ETF
IYE,iShares U.S. Energy ETF
IYF,iShares U.S. Financial ETF
IYG,iShares U.S. Financial Services ETF
IYH,iShares U.S. Healthcare ETF
IYJ,iShares U.S. Industrials ETF
IYK,iShares U.S. Consumer Goods ETF
IYLD,iShares Morningstar Multi
