Symbol,Company Name
LPLA,LPL Financial Holdings Inc. 
LPSN,"LivePerson, Inc. "
LPT,Liberty Property Trust
LPTH,"LightPath Technologies, Inc. "
LPTX,"Leap Therapeutics, Inc. "
LPX,Louisiana
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF
LQDA,"Liquidia Technologies, Inc. "
LQDH,iShares Interest Rate Hedged Corporate Bond ETF
LQDI,iShares Inflation Hedged Corporate Bond ETF
LQDT,"Liquidity Services, Inc. "
LRAD,LRAD Corporation 
LRCX,Lam Research Corporation 
LRET,"ETRACS Monthly Pay 2xLeveraged MSCI US REIT Index ETN due May 5, 2045"
LRGE,ClearBridge Large Cap Growth ESG ETF
LRGF,iShares Edge MSCI Multifactor USA ETF
LRN,K12 Inc Common Stock
LSAF,LeaderShares AlphaFactor US Core Equity ETF
LSBK,"Lake Shore Bancorp, Inc. "
LSCC,Lattice Semiconductor Corporation 
LSI,"Life Storage, Inc. Common Stock"
LSLT,Salt Low truBeta US Market ETF
LSST,Natixis ETF Trust Natixis Loomis Sayles Short Duration Income ETF
LSTR,"Landstar System, Inc. "
LSXMA,Liberty Media Corporation 
LSXMB,Liberty Media Corporation 
LSXMK,Liberty Media Corporation 
LTBR,Lightbridge Corporation 
LTC,"LTC Properties, Inc. Common Stock"
LTHM,Livent Corporation Common Stock
LTL,ProShares Ultra Telecommunications ProShares
LTM,LATAM Airlines Group S.A.
LTPZ,Pimco 15  Year U.S. TIPS Index Exchange
LTRPA,"Liberty TripAdvisor Holdings, Inc. "
LTRPB,"Liberty TripAdvisor Holdings, Inc. "
LTRX,"Lantronix, Inc. "
LTS,Ladenburg Thalmann Financial Services Inc Common Stock
LTS$A,"Ladenburg Thalmann Financial Services Inc 8.00% Series A Cumulative Redeemable Preferred Stock, Liquidation Preference $25.00 per share"
LTSF,Ladenburg Thalmann Financial Services Inc. 7.00% Senior Notes due 2028
LTSK,Ladenburg Thalmann Financial Services Inc 7.25% Senior Notes due 2028
LTSL,Ladenburg Thalmann Financial Services Inc 6.50% Senior Notes due 2027
LTXB,"LegacyTexas Financial Group, Inc. "
LUB,"Luby's, Inc. Common Stock"
LULU,lululemon athletica inc. 
LUNA,Luna Innovations Incorporated 
LUV,Southwest Airlines Company Common Stock
LVHB,Innovator Lunt Low Vol/High Beta Tactical ETF
LVHD,Legg Mason Low Volatility High Dividend ETF
LVHE,Legg Mason Emerging Markets Low Volatility High Dividend ETF
LVHI,Legg Mason International Low Volatility High Dividend ETF
LVIN,Hartford Multifactor Low Volatility International Equity ETF
LVL,Invesco S&P Global Dividend Opportunities Index ETF
LVS,Las Vegas Sands Corp. Common Stock
LVUS,Hartford Multifactor Low Volatility US Equity ETF
LW,"Lamb Weston Holdings, Inc. Common Stock "
LWAY,"Lifeway Foods, Inc. "
LX,LexinFintech Holdings Ltd. 
LXFR,Luxfer Holdings PLC Ordinary Shares
LXFT,"Luxoft Holding, Inc. Class A Ordinary Shares"
LXP,Lexington Realty Trust Common Stock
