Symbol,Company Name
BFIN,BankFinancial Corporation 
BFIT,Global X Health & Wellness Thematic ETF
BFK,BlackRock Municipal Income Trust
BFO,Blackrock Florida Municipal 2020 Term Trust
BFOR,Barron's 400
BFR,BBVA Banco Frances S.A. Common Stock
BFRA,Biofrontera AG 
BFS,"Saul Centers, Inc. Common Stock"
BFS$C,"Saul Centers, Inc. Depositary Shares, each representing 1/100th of a share of 6.875% Series C Cumulative Redeemable Preferred Stock, $0.01 par value"
BFS$D,"Saul Centers, Inc. Depositary Shares, each representing 1/100th of a share of 6.125% Series D Cumulative Redeemable Preferred Stock"
BFST,"Business First Bancshares, Inc. "
BFY,BlackRock New York Municipal Income Trust II
BFZ,BlackRock California Municipal Income Trust
BG,Bunge Limited Bunge Limited
BGB,Blackstone / GSO Strategic Credit Fund Common Shares
BGCP,"BGC Partners, Inc. "
BGFV,Big 5 Sporting Goods Corporation 
BGG,Briggs & Stratton Corporation Common Stock
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests
BGI,Birks Group Inc. Common Stock
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest
BGNE,"BeiGene, Ltd. "
BGR,BlackRock Energy and Resources Trust
BGRN,iShares Global Green Bond ETF
BGS,"B&G Foods, Inc. B&G Foods, Inc. Common Stock"
BGSF,BG Staffing Inc Common Stock
BGT,BlackRock Floating Rate Income Trust
BGX,Blackstone GSO Long Short Credit Income Fund Common Shares
BGY,Blackrock Enhanced International Dividend Trust
BH,Biglari Holdings Inc. Class B Common Stock
BH.A,Biglari Holdings Inc. Class A Common Stock
BHB,"Bar Harbor Bankshares, Inc. Common Stock"
BHBK,"Blue Hills Bancorp, Inc. "
BHC,Bausch Health Companies Inc. Common Stock
BHE,"Benchmark Electronics, Inc. Common Stock"
BHF,"Brighthouse Financial, Inc. "
BHFAL,"Brighthouse Financial, Inc. "
BHGE,"Baker Hughes, a GE company Class A Common Stock"
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust
BHLB,"Berkshire Hills Bancorp, Inc. Common Stock"
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BHR,Braemar Hotels & Resorts Inc. Common Stock
BHR$B,"Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock, par value $0.01 per share"
BHR$D,"Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock,  par value $0.01 per share"
BHTG,"BioHiTech Global, Inc. "
BHV,BlackRock Virginia Municipal Bond Trust
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares
BIB,ProShares Ultra Nasdaq Biotechnology
BIBL,Inspire 100 ETF
BICK,First Trust BICK Index Fund
BID,Sotheby's Common Stock
BIDU,"Baidu, Inc. "
BIF,"Boulder Growth & Income Fund, Inc."
BIG,"Big Lots, Inc. Common Stock"
BIIB,Biogen Inc. 
BIKR,Rogers AI Global Macro ETF
BIL,SPDR Bloomberg Barclays 1
BILI,Bilibili Inc. 
BIMI,NF Energy Saving Corporation 
BIO,Bio
BIO.B,Bio
BIOC,"Biocept, Inc. "
BIOL,"Biolase, Inc. "
BIOS,"BioScrip, Inc. "
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
BIOX.W,Bioceres Crop Solutions Corp. Warrant
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
BIQI,"Renmin Tianli Group, Inc. "
BIS,ProShares UltraShort Nasdaq Biotechnology
BIT,BlackRock Multi
BITA,Bitauto Holdings Limited American Depositary Shares (each representing one ordinary share)
BIV,Vanguard Intermediate
BIZD,VanEck Vectors BDC Income ETF
BJ,"BJ's Wholesale Club Holdings, Inc. Common Stock"
BJAN,Innovator S&P 500 Buffer ETF 
BJK,VanEck Vectors Gaming ETF
BJRI,"BJ's Restaurants, Inc. "
BJUL,Innovator ETFs Trust Innovator S&P 500 Buffer ETF 
BK,Bank of New York Mellon Corporation (The) Common Stock
BK$C,Bank Of New York Mellon Corporation (The) Dep Shs Repstg 1/4000th Perp Pfd Ser C
BKCC,BlackRock Capital Investment Corporation 
BKCH,AdvisorShares Sabretooth ETF
