Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WEC,Wisconsin Energy Corp,91.24,0.57,+0.63%,91.71,90.52,1859400,01/03/20
WELL,Welltower Inc,81.55,1.41,+1.76%,81.66,79.55,1687000,01/03/20
WFC,Wells Fargo & Company,53.42,-0.33,-0.61%,53.62,52.9,15609600,01/03/20
WHR,Whirlpool Corp,145.92,-2.53,-1.70%,146.65,145,521100,01/03/20
WLTW,Willis Towers WT,204.33,0.05,+0.02%,204.97,201.73,411300,01/03/20
WM,Waste Management,115.33,1.11,+0.97%,115.47,113.1,1424900,01/03/20
WMB,Williams Companies,23.59,0.1,+0.43%,23.63,23.27,7542700,01/03/20
WMT,Wal-Mart Stores,117.89,-1.05,-0.88%,118.79,117.59,5401100,01/03/20
WRB,W.R. Berkley Corp,69.05,0.09,+0.13%,69.18,68.16,438300,01/03/20
WRK,Westrock Company,42.68,-0.77,-1.77%,43.22,42.66,3544100,01/03/20
WU,Western Union Company,26.1,-0.09,-0.34%,26.3,25.77,4993900,01/03/20
WY,Weyerhaeuser Company,29.44,0.05,+0.17%,29.58,29.15,3110900,01/03/20
WYNN,Wynn Resorts Ltd,141.47,-2.13,-1.48%,142.27,139.94,1760500,01/03/20
XEC,Cimarex Energy Company,53.4,1.18,+2.26%,54.01,52.66,1723100,01/03/20
XEL,XCEL Energy Inc,62.68,0.3,+0.48%,62.92,62.28,2422500,01/03/20
XLNX,Xilinx Inc,99.31,-2.34,-2.30%,101.06,99.1,3522700,01/03/20
XOM,Exxon Mobil Corp,70.33,-0.57,-0.80%,71.37,70.16,17390500,01/03/20
XRAY,Dentsply Sirona Inc,56.3,-0.63,-1.11%,56.77,55.85,909900,01/03/20
XRX,Xerox Corp,36.45,-0.48,-1.30%,36.78,36.03,1042800,01/03/20
XYL,Xylem Inc,80.32,0.47,+0.59%,80.35,78.7,795100,01/03/20
YUM,Yum! Brands,101.85,-0.32,-0.31%,102.01,100.36,1145500,01/03/20
ZBH,Zimmer Biomet Holdings,148.81,-0.39,-0.26%,149.68,145.96,963400,01/03/20
ZBRA,Zebra Technologies,256.05,-3.09,-1.19%,258.65,254.88,305300,01/03/20
ZION,Zions Bancorp,51.7,-0.74,-1.41%,51.89,51.16,1215800,01/03/20
ZTS,Zoetis Inc Cl A,134.16,0.02,+0.01%,134.91,132.27,1274400,01/03/20
