Symbol,Company Name
PES,Pioneer Energy Services Corp. Common Stk
PESI,Perma
PETQ,"PetIQ, Inc. "
PETS,"PetMed Express, Inc. "
PETX,"Aratana Therapeutics, Inc. "
PETZ,"TDH Holdings, Inc. "
PETZC,Gabelli NextShares Trust 
PEX,ProShares Global Listed Private Equity ETF
PEXL,Pacer US Export Leaders ETF
PEY,Invesco High Yield Equity Dividend Achievers ETF
PEZ,Invesco DWA Consumer Cyclicals Momentum ETF
PFBC,Preferred Bank 
PFBI,"Premier Financial Bancorp, Inc. "
PFD,Flaherty & Crumrine Preferred Income Fund Incorporated Common Stock
PFE,"Pfizer, Inc. Common Stock"
PFF,iShares Preferred and Income Securities ETF
PFFA,Virtus InfraCap U.S. Preferred Stock ETF
PFFD,Global X U.S. Preferred ETF
PFFL,"ETRACS 2xMonthly Pay Leveraged Preferred Stock Index ETN due September 25, 2048"
PFFR,ETFIS Series Trust I ETF
PFG,Principal Financial Group Inc 
PFGC,Performance Food Group Company Common Stock
PFH,Cabco Tr Jcp 7.625 Common Stock
PFI,Invesco DWA Financial Momentum ETF
PFIE,"Profire Energy, Inc. "
PFIG,Invesco Fundamental Investment Grade Corporate Bond  ETF
PFIN,"P & F Industries, Inc. "
PFIS,Peoples Financial Services Corp.  
PFL,PIMCO Income Strategy Fund Shares of Beneficial Interest
PFLT,PennantPark Floating Rate Capital Ltd. 
PFM,Invesco Dividend Achievers ETF
PFMT,Performant Financial Corporation 
PFN,PIMCO Income Strategy Fund II
PFNX,Pfenex Inc. Common Stock
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Incorporated Common Stock
PFPT,"Proofpoint, Inc. "
PFS,"Provident Financial Services, Inc Common Stock"
PFSI,"PennyMac Financial Services, Inc. Common Stock"
PFSW,"PFSweb, Inc. "
PFXF,VanEck Vectors Preferred Securities ex Financials ETF
PG,Procter & Gamble Company (The) Common Stock
PGAL,Global X MSCI Portugal ETF
PGC,Peapack
PGF,Invesco Financial Preferred ETF
PGHY,Invesco Global Short Term High Yield Bond ETF
PGJ,Invesco Golden Dragon China ETF
PGLC,Pershing Gold Corporation 
PGM,iPathA Series B Bloomberg Platinum Subindex Total Return ETN
PGNX,Progenics Pharmaceuticals Inc. 
PGP,Pimco Global Stocksplus & Income Fund Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest
PGR,Progressive Corporation (The) Common Stock
PGRE,"Paramount Group, Inc. Common Stock"
PGTI,"PGT Innovations, Inc."
PGX,Invesco Preferred ETF
PGZ,Principal Real Estate Income Fund Common Shares of Beneficial Interest
PH,Parker
PHAS,"PhaseBio Pharmaceuticals, Inc. "
PHB,Invesco Fundamental High Yield Corporate Bond ETF
PHCF,"Puhui Wealth Investment Management Co., Ltd.  "
PHD,Pioneer Floating Rate Trust Pioneer Floating Rate Trust Shares of Beneficial Interest
PHDG,Invesco S&P 500 Downside Hedged ETF
PHG,Koninklijke Philips N.V. NY Registry Shares
PHI,PLDT Inc. Sponsored ADR
PHII,"PHI, Inc. "
PHIIK,"PHI, Inc. "
PHIO,Phio Pharmaceuticals Corp. 
PHIOW,Phio Pharmaceuticals Corp. 
PHK,Pimco High Income Fund Pimco High Income Fund
PHM,"PulteGroup, Inc. Common Stock"
PHO,Invesco Water Resources ETF
PHT,Pioneer High Income Trust Common Shares of Beneficial Interest
PHUN,"Phunware, Inc. "
PHUNW,"Phunware, Inc. "
PHX,Panhandle Oil and Gas Inc Common Stock
PHYL,PGIM Active High Yield Bond ETF
PHYS,Sprott Physical Gold Trust ETV
PI,"Impinj, Inc. "
PICB,Invesco International Corporate Bond ETF
PICK,iShares MSCI Global Select Metals & Mining Producers Fund
PICO,PICO Holdings Inc. 
PID,Invesco International Dividend Achievers ETF
PIE,Invesco DWA Emerging Markets Momentum ETF
PIH,"1347 Property Insurance Holdings, Inc. "
PIHPP,"1347 Property Insurance Holdings, Inc. "
PII,Polaris Industries Inc. Common Stock
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares
PIM,Putnam Master Intermediate Income Trust Common Stock
PIN,Invesco India ETF
PINC,"Premier, Inc. "
PIO,Invesco Global Water ETF
PIR,"Pier 1 Imports, Inc. Common Stock"
PIRS,"Pieris Pharmaceuticals, Inc. "
PIXY,"ShiftPixy, Inc. "
PIY,Preferred Plus Trust (Ser CZN) Preferred Plus Trust Ser CZN
PIZ,Invesco DWA Developed Markets Momentum ETF
PJAN,Innovator S&P 500 Power Buffer ETF 
PJC,Piper Jaffray Companies Common Stock
PJH,"Prudential Financial, Inc. 5.75% Junior Subordinated Notes due 2052"
PJP,Invesco Dynamic Pharmaceuticals ETF
PJT,PJT Partners Inc. Class A Common Stock
PJUL,Innovator S&P 500 Power Buffer ETF 
PK,Park Hotels & Resorts Inc. Common Stock 
PKB,Invesco Dynamic Building & Construction ETF
PKBK,"Parke Bancorp, Inc. "
PKE,Park Electrochemical Corporation Common Stock
PKG,Packaging Corporation of America Common Stock
PKI,"PerkinElmer, Inc. Common Stock"
PKO,Pimco Income Opportunity Fund Common Shares of Beneficial Interest
PKOH,Park
PKW,Invesco BuyBack Achievers ETF
PKX,POSCO Common Stock
PLAB,"Photronics, Inc. "
PLAG,Planet Green Holdings Corp. Common Stock
PLAN,"Anaplan, Inc. Common Stock"
PLAY,"Dave & Buster's Entertainment, Inc. "
PLBC,Plumas Bancorp 
PLCE,"Children's Place, Inc. (The) "
PLCY,EventShares U.S. Policy Alpha ETF
PLD,"Prologis, Inc. Common Stock"
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada)
PLL,Piedmont Lithium Limited 
PLM,Polymet Mining Corporation Ordinary Shares (Canada)
PLND,VanEck Vectors Poland ETF
PLNT,"Planet Fitness, Inc. Common Stock"
PLOW,"Douglas Dynamics, Inc. Common Stock"
PLPC,Preformed Line Products Company 
PLSE,"Pulse Biosciences, Inc "
PLT,"Plantronics, Inc. Common Stock"
PLTM,GraniteShares Platinum Shares ETF
PLUG,"Plug Power, Inc. "
PLUS,ePlus inc. 
PLW,Invesco 1
PLX,"Protalix BioTherapeutics, Inc. (DE) Common Stock"
PLXP,PLx Pharma Inc. 
PLXS,Plexus Corp. 
PLYA,Playa Hotels & Resorts N.V. 
PLYM,"Plymouth Industrial REIT, Inc. Common Stock"
PLYM$A,"Plymouth Industrial REIT, Inc. 7.50% Series A Cumulative Redeemable Preferred Stock"
PM,Philip Morris International Inc Common Stock
PMBC,Pacific Mercantile Bancorp 
PMD,Psychemedics Corporation 
PME,Pingtan Marine Enterprise Ltd. 
PMF,PIMCO Municipal Income Fund Common Stock
PML,Pimco Municipal Income Fund II Common Shares of Beneficial Interest
PMM,Putnam Managed Municipal Income Trust Common Stock
PMO,Putnam Municipal Opportunities Trust Common Stock
PMOM,Principal Sustainable Momentum Index ETF
PMR,Invesco Dynamic Retail ETF
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest
PMT$A,PennyMac Mortgage Investment Trust 8.125% Series A Fixed
PMT$B,PennyMac Mortgage Investment Trust 8.00% Series B Fixed
PMTS,CPI Card Group Inc. 
PMX,PIMCO Municipal Income Fund III Common Shares of Beneficial Interest
PNBK,Patriot National Bancorp Inc. 
PNC,"PNC Financial Services Group, Inc. (The) Common Stock"
PNC$P,"PNC Financial Services Group, Inc. (The) Depositary Shares Representing 1/4000th Perpetual Preferred Series P"
PNC$Q,"PNC Financial Services Group, Inc. (The) Depositary Shares Representing 1/4000th Perpetual Preferred Shares Series Q"
PNF,PIMCO New York Municipal Income Fund Common Stock
PNFP,"Pinnacle Financial Partners, Inc. "
PNI,Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest
PNM,"PNM Resources, Inc. (Holding Co.) Common Stock"
PNNT,PennantPark Investment Corporation 
PNQI,Invesco Nasdaq Internet ETF
PNR,Pentair plc. Ordinary Share
PNRG,PrimeEnergy Resources Corporation 
PNRL,Paringa Resources Limited 
PNTR,Pointer Telocation Ltd. 
PNW,Pinnacle West Capital Corporation Common Stock
POCT,Innovator S&P 500 Power Buffer ETF 
PODD,Insulet Corporation 
POL,PolyOne Corporation Common Stock
POLA,"Polar Power, Inc. "
POOL,Pool Corporation 
POPE,Pope Resources 
POR,Portland General Electric Co Common Stock
POST,"Post Holdings, Inc. Common Stock"
POWI,"Power Integrations, Inc. "
POWL,"Powell Industries, Inc. "
PPA,Invesco Aerospace & Defense ETF 
PPBI,Pacific Premier Bancorp Inc 
PPC,Pilgrim's Pride Corporation 
PPDF,"PPDAI Group Inc. American Depositary Shares, each representing five Class A ordinary shares"
PPDM,PortfolioPlus Developed Markets ETF
PPEM,PortfolioPlus Emerging Markets ETF
PPG,"PPG Industries, Inc. Common Stock"
PPH,VanEck Vectors Pharmaceutical ETF
PPIH,Perma
PPL,PPL Corporation Common Stock
PPLC,PortfolioPlus S&P 500 ETF
PPLN,"Cushing 30 MLP Index ETNs due June 15, 2037"
PPLT,Aberdeen Standard Physical Platinum Shares ETF
PPMC,PortfolioPlus S&P Mid Cap ETF
PPR,Voya Prime Rate Trust Shares of Beneficial Interest
PPSC,PortfolioPlus S&P Small Cap ETF
PPSI,"Pioneer Power Solutions, Inc. "
PPT,Putnam Premier Income Trust Common Stock
PPTY,PPTY U.S. Diversified Real Estate ETF
PPX,"PPL Capital Funding, Inc. 2013 Series B Junior Subordinated Notes due 2073"
PQG,PQ Group Holdings Inc. Common Stock
PQIN,PGIM QMA Strategic Alpha International Equity ETF
