Symbol,Company Name
RILY,"B. Riley Financial, Inc. "
RILYG,"B. Riley Financial, Inc. "
RILYH,"B. Riley Financial, Inc. "
RILYI,"B. Riley Financial, Inc. "
RILYL,"B. Riley Financial, Inc. "
RILYZ,"B. Riley Financial, Inc. "
RINF,ProShares Inflation Expectations ETF
RING,iShares MSCI Global Gold Miners ETF
RIO,Rio Tinto Plc Common Stock
RIOT,"Riot Blockchain, Inc "
RISE,Sit Rising Rate ETF
RIV,"RiverNorth Opportunities Fund, Inc. Common Stock"
RIVE,Riverview Financial Corporation 
RJA,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index 
RJF,"Raymond James Financial, Inc. Common Stock"
RJI,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index 
RJN,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index 
RJZ,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index 
RKDA,"Arcadia Biosciences, Inc. "
RL,Ralph Lauren Corporation Common Stock
RLGT,"Radiant Logistics, Inc. Common Stock"
RLGY,Realogy Holdings Corp. Common Stock
RLH,Red Lions Hotels Corporation Common Stock
RLI,RLI Corp. Common Stock (DE)
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value
RLJ$A,RLJ Lodging Trust $1.95 Series A Cumulative Convertible  Preferred Shares
RLM,Realm Therapeutics plc 
RLY,SPDR SSgA Multi Asset Real Return ETF
RM,Regional Management Corp. Common Stock
RMAX,"RE/MAX Holdings, Inc. Class A Common Stock"
RMBL,"RumbleOn, Inc. "
RMBS,"Rambus, Inc. "
RMCF,"Rocky Mountain Chocolate Factory, Inc. "
RMD,ResMed Inc. Common Stock
RMED,"Ra Medical Systems, Inc. Common Stock"
RMG.U,RMG Acquisition Corp. Unit
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc. Common Stock"
RMNI,"Rimini Street, Inc. "
RMPL$,RiverNorth Marketplace Lending Corporation 5.875% Series A Term Preferred Stock Due 2024
RMR,The RMR Group Inc. 
RMT,Royce Micro
RMTI,"Rockwell Medical, Inc. "
RNDB,"Randolph Bancorp, Inc. "
RNDM,First Trust Developed International Equity Select ETF
RNDV,First Trust US Equity Dividend Select ETF
RNEM,First Trust Emerging Markets Equity Select ETF
RNET,"RigNet, Inc. "
RNG,"Ringcentral, Inc. Class A Common Stock"
