Symbol,Company Name
SALM,"Salem Media Group, Inc. "
SALT,Scorpio Bulkers Inc. Common Stock
SAM,"Boston Beer Company, Inc. (The) Common Stock"
SAMA,Schultze Special Purpose Acquisition Corp. 
SAMAU,Schultze Special Purpose Acquisition Corp. 
SAMAW,Schultze Special Purpose Acquisition Corp. 
SAMG,Silvercrest Asset Management Group Inc. 
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)"
SAN$B,"Banco Santander, S.A. Floating Rate Non"
SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada)
SANM,Sanmina Corporation 
SANW,S&W Seed Company 
SAP,SAP  SE ADS
SAR,Saratoga Investment Corp New
SASR,"Sandy Spring Bancorp, Inc. "
SATS,EchoStar Corporation 
SAUC,"Diversified Restaurant Holdings, Inc. "
SAVE,"Spirit Airlines, Inc. Common Stock"
SB,"Safe Bulkers, Inc Common Stock ($0.001 par value)"
SB$C,"Safe Bulkers, Inc Cumulative Redeemable Perpetual Preferred Series C (Marshall Islands)"
SB$D,"Safe Bulkers, Inc Perpetual Preferred Series D (Marshall Islands)"
SBAC,SBA Communications Corporation 
SBB,ProShares Short SmallCap600
SBBP,Strongbridge Biopharma plc 
SBBX,SB One Bancorp 
SBCF,Seacoast Banking Corporation of Florida 
SBFG,"SB Financial Group, Inc. "
SBFGP,"SB Financial Group, Inc. "
SBGI,"Sinclair Broadcast Group, Inc. "
SBGL,D/B/A Sibanye
SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.) Common Stock"
SBI,Western Asset Intermediate Muni Fund Inc Common Stock
SBIO,ALPS Medical Breakthroughs ETF
SBLK,Star Bulk Carriers Corp. 
SBLKZ,Star Bulk Carriers Corp. 
SBM,Short Basic Materials
SBNA,Scorpio Tankers Inc. 6.75% Senior Notes due 2020
SBNY,Signature Bank 
SBOT,"Stellar Biotechnologies, Inc. "
SBOW,"SilverBow Resorces, Inc. Common Stock"
SBPH,"Spring Bank Pharmaceuticals, Inc. "
SBR,Sabine Royalty Trust Common Stock
SBRA,"Sabra Health Care REIT, Inc. "
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo 
SBSI,"Southside Bancshares, Inc. "
SBT,"Sterling Bancorp, Inc. "
SBUX,Starbucks Corporation 
SC,Santander Consumer USA Holdings Inc. Common Stock
SCA,Stellus Capital Investment Corporation 5.75% Notes due 2022
SCAC,Saban Capital Acquisition Corp. 
SCACU,Saban Capital Acquisition Corp. 
SCACW,Saban Capital Acquisition Corp. 
SCAP,AdvisorShares Cornerstone Small Cap ETF
