Symbol,Company Name
MFO,"MFA Financial, Inc. 8.00% Senior Notes due 2042"
MFSF,MutualFirst Financial Inc. 
MFT,Blackrock MuniYield Investment Quality Fund Common Shares of Beneficial Interest
MFUS,PIMCO Equitiy Series PIMCO RAFI Dynamic Multi
MFV,MFS Special Value Trust Common Stock
MG,Mistras Group Inc Common Stock
MGA,"Magna International, Inc. Common Stock"
MGC,Vanguard Mega Cap ETF
MGEE,MGE Energy Inc. 
MGEN,"Miragen Therapeutics, Inc. "
MGF,MFS Government Markets Income Trust Common Stock
MGI,"Moneygram International, Inc. "
MGIC,Magic Software Enterprises Ltd. 
MGK,Vanguard Mega Cap Growth ETF
MGLN,"Magellan Health, Inc. "
MGM,MGM Resorts International Common Stock
MGNX,"MacroGenics, Inc. "
MGP,MGM Growth Properties LLC Class A common shares representing limited liability company interests
MGPI,"MGP Ingredients, Inc. "
MGRC,McGrath RentCorp 
MGTA,"Magenta Therapeutics, Inc. "
MGTX,MeiraGTx Holdings plc 
MGU,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock
MGV,Vanguard Mega Cap Value ETF
MGY,Magnolia Oil & Gas Corporation Class A Common Stock
MGY.W,Magnolia Oil & Gas Corporation Warrant
MGYR,"Magyar Bancorp, Inc. "
MH$A,"Maiden Holdings, Ltd. Pref Shs Ser A (Bermuda)"
MH$C,"Maiden Holdings North America, Ltd. 7.125% Non"
MH$D,"Maiden Holdings, Ltd. 6.700% Non"
MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock"
MHE,BlackRock Massachusetts Tax
MHF,"Western Asset Municipal High Income Fund, Inc. Common Stock"
MHH,"Mastech Digital, Inc Common Stock"
MHI,Pioneer Municipal High Income Trust Common Shares of Beneficial Interest
MHK,"Mohawk Industries, Inc. Common Stock"
MHLA,"Maiden Holdings, Ltd. 6.625% Notes due 2046"
MHLD,"Maiden Holdings, Ltd. "
MHN,"Blackrock MuniHoldings New York Quality Fund, Inc. Common Stock"
MHNC,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043"
MHO,"M/I Homes, Inc. Common Stock"
MIC,Macquarie Infrastructure Corporation Common Stock
MICR,"Micron Solutions, Inc. Common Stock"
MICT,"MICT, Inc. "
MIDD,The Middleby Corporation 
MIDU,Direxion Mid Cap Bull 3X Shares
MIDZ,Direxion Mid Cap Bear 3X Shares
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc. Common Stock"
MIK,"The Michaels Companies, Inc. "
MILN,Global X Millennials Thematic ETF
MIME,Mimecast Limited 
MIN,MFS Intermediate Income Trust Common Stock
MINC,AdvisorShares Newfleet Multi
MIND,"Mitcham Industries, Inc. "
MINDP,"Mitcham Industries, Inc. "
MINI,"Mobile Mini, Inc. "
MINT,PIMCO Enhanced Short Maturity Active Exchange
MITK,"Mitek Systems, Inc. "
MITO,Stealth BioTherapeutics Corp. 
MITT,"AG Mortgage Investment Trust, Inc. Common Stock"
MITT$A,"AG Mortgage Investment Trust, Inc. 8.25% Preferred Series A"
MITT$B,"AG Mortgage Investment Trust, Inc. Preferred Series B"
MIXT,"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares"
MIY,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock"
MJ,ETFMG Alternative Harvest ETF
MJCO,Majesco 
MKC,"McCormick & Company, Incorporated Common Stock"
MKC.V,"McCormick & Company, Incorporated Common Stock"
MKGI,"Monaker Group, Inc. "
MKL,Markel Corporation Common Stock
MKSI,"MKS Instruments, Inc. "
MKTX,"MarketAxess Holdings, Inc. "
MLAB,"Mesa Laboratories, Inc. "
MLCO,Melco Resorts & Entertainment Limited 
MLHR,"Herman Miller, Inc. "
MLI,"Mueller Industries, Inc. Common Stock"
MLM,"Martin Marietta Materials, Inc. Common Stock"
MLN,VanEck Vectors AMT
MLND,"Millendo Therapeutics, Inc.  "
MLNT,"Melinta Therapeutics, Inc. "
MLNX,"Mellanox Technologies, Ltd. "
MLP,"Maui Land & Pineapple Company, Inc. Common Stock"
MLPA,Global X MLP ETF
MLPB,"ETRACS Alerian MLP Infrastructure Index ETN Series B due April 2, 2040"
MLPC,C
MLPE,C
MLPG,UBS AG Exchange Traded Access Securities (E
MLPI,UBS AG ETN
MLPO,"Credit Suisse Group Exchange Traded Notes due December 4, 2034, Linked to the S&P MLP Index"
MLPQ,"UBS AG ETRACS 2xMonthly Leveraged Alerian MLP Infrastructure Index  ETN Series B due February 12, 2046"
MLPX,Global X MLP & Energy Infrastructure ETF
MLPY,Morgan Stanley Cushing MLP High Income Index ETN
MLPZ,"UBS AG ETRACS ETRACS 2xMonthly Leveraged S&P MLP Index ETN Series B due February 12, 2046"
MLQD,iShares 5
MLR,"Miller Industries, Inc. Common Stock"
MLSS,"Milestone Scientific, Inc. Common Stock"
MLTI,Credit Suisse X
MLVF,"Malvern Bancorp, Inc. "
MMAC,"MMA Capital Holdings, Inc. "
MMC,"Marsh & McLennan Companies, Inc. Common Stock"
MMD,MainStay MacKay DefinedTerm Municipal Opportunities Fund
MMDM,Modern Media Acquisition Corp. 
MMDMR,Modern Media Acquisition Corp. 
MMDMU,Modern Media Acquisition Corp. 
MMDMW,Modern Media Acquisition Corp. 
MMI,"Marcus & Millichap, Inc. Common Stock"
MMIN,IQ MacKay Municipal Insured ETF 
MMIT,IQ MacKay Municipal Intermediate ETF
MMLP,Martin Midstream Partners L.P. 
MMM,3M Company Common Stock
MMP,Magellan Midstream Partners L.P. Limited Partnership
MMS,"Maximus, Inc. Common Stock"
MMSI,"Merit Medical Systems, Inc. "
MMT,MFS Multimarket Income Trust Common Stock
MMTM,SPDR S&P 1500 Momentum Tilt ETF
MMU,"Western Asset Managed Municipals Fund, Inc. Common Stock"
MMYT,MakeMyTrip Limited 
MN,"Manning & Napier, Inc. Class A Common Stock"
MNA,IQ Merger Arbitrage ETF
MNCL,Monocle Acquisition Corporation 
MNCLU,Monocle Acquisition Corporation 
MNCLW,Monocle Acquisition Corporation 
MNDO,MIND C.T.I. Ltd. 
MNE,Blackrock Muni New York Intermediate Duration Fund Inc Common Stock
MNI,McClatchy Company (The) Common Stock
MNK,Mallinckrodt plc Ordinary Shares
MNKD,MannKind Corporation 
MNLO,Menlo Therapeutics Inc. 
MNOV,"MediciNova, Inc. "
MNP,"Western Asset Municipal Partners Fund, Inc. Common Stock"
MNR,Monmouth Real Estate Investment Corporation Class A Common Stock
MNR$C,Monmouth Real Estate Investment Corporation 6.125% Series C Cumulative Redeemable Preferred Stock
MNRO,"Monro, Inc.  "
MNST,Monster Beverage Corporation 
MNTA,"Momenta Pharmaceuticals, Inc. "
MNTX,"Manitex International, Inc. "
MO,"Altria Group, Inc."
MOAT,VanEck Vectors Morningstar Wide Moat ETF
MOBL,"MobileIron, Inc. "
MOD,Modine Manufacturing Company Common Stock
MODN,"Model N, Inc. Common Stock"
MOFG,"MidWestOne Financial Group, Inc. "
MOG.A,Moog Inc. Class A Common Stock
MOG.B,Moog Inc. Class B Common Stock
MOGLC,Gabelli NextShares Trust 
MOGO,Mogo Finance Technology Inc. 
MOGU,MOGU Inc. American Depositary Shares (each  representing 25 Class A Ordinary Shares)
MOH,Molina Healthcare Inc Common Stock
MOM,AGFiQ U.S. Market Neutral Momentum Fund
MOMO,Momo Inc. 
MOO,VanEck Vectors Agribusiness ETF
MOR,MorphoSys AG 
MORL,ETRACS Monthly Pay 2XLeveraged Mortgage REIT ETN
MORN,"Morningstar, Inc. "
MORT,VanEck Vectors Mortgage REIT Income ETF
MOS,Mosaic Company (The) Common Stock
MOSC,Mosaic Acquisition Corp. Class A Common Stock
MOSC.U,"Mosaic Acquisition Corp. Units, each consisting of one Class A Common Stock and one"
MOSC.W,Mosaic Acquisition Corp. Warrants
MOSY,"MoSys, Inc. "
MOTI,VanEck Vectors Morningstar International Moat ETF
MOTS,"Motus GI Holdings, Inc. "
MOV,Movado Group Inc. Common Stock
MOXC,"Moxian, Inc. "
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock
MPAA,"Motorcar Parts of America, Inc. "
MPB,Mid Penn Bancorp 
MPC,Marathon Petroleum Corporation Common Stock
MPLX,MPLX LP Common Units Representing Limited Partner Interests
MPO,Midstates Petroleum Company Inc. Common Stock
MPV,Barings Participation Investors Common Stock
MPVD,Mountain Province Diamonds Inc. 
MPW,"Medical Properties Trust, Inc. common stock"
MPWR,"Monolithic Power Systems, Inc. "
MPX,Marine Products Corporation Common Stock
MQT,"Blackrock MuniYield Quality Fund II, Inc. Common Stock"
MQY,"Blackrock MuniYield Quality Fund, Inc. Common Stock"
MR,Montage Resources Corporation Common Stock
MRAM,"Everspin Technologies, Inc. "
MRBK,Meridian Corporation 
MRC,MRC Global Inc. Common Stock
MRCC,Monroe Capital Corporation 
MRCCL,Monroe Capital Corporation 
MRCY,Mercury Systems Inc 
MRGR,ProShares Merger ETF
MRIN,Marin Software Incorporated 
MRK,"Merck & Company, Inc. Common Stock (new)"
MRKR,"Marker Therapeutics, Inc. "
MRLN,Marlin Business Services Corp. 
MRNA,"Moderna, Inc. "
MRNS,"Marinus Pharmaceuticals, Inc. "
MRO,Marathon Oil Corporation Common Stock
MRRL,"ETRACS Monthly Pay 2xLeveraged Mortgage REIT ETN Series B due October 16, 2042"
MRSN,"Mersana Therapeutics, Inc. "
MRT,"MedEquities Realty Trust, Inc. Common Stock"
MRTN,"Marten Transport, Ltd. "
MRTX,"Mirati Therapeutics, Inc. "
MRUS,Merus N.V. 
MRVL,Marvell Technology Group Ltd. 
MS,Morgan Stanley Common Stock
MS$A,Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A
MS$E,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E
MS$F,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag
MS$G,Morgan Stanley Depositary Shares Representing 1/1000th Preferred Series G
