Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ROK,Rockwell Automation Inc,202.64,-3,-1.46%,203.23,200.51,542600,01/03/20
ROL,Rollins Inc,33.23,-0.11,-0.33%,33.26,32.76,1098200,01/03/20
ROP,Roper Industries,363.03,-2.14,-0.59%,363.36,358.46,479200,01/03/20
ROST,Ross Stores Inc,116.86,0.03,+0.03%,117,115.2,1486500,01/03/20
RSG,Republic Services,90.21,0.38,+0.42%,90.4,89.06,1362400,01/03/20
RTN,Raytheon Company,227.81,3.33,+1.48%,230,225.17,2151700,01/03/20
SBAC,SBA Communications,241.03,2.16,+0.90%,241.8,237.71,787400,01/03/20
SBUX,Starbucks Corp,88.83,-0.52,-0.58%,89.1,88.1,4874900,01/03/20
SCHW,The Charles Schwab Corp,47.01,-1.22,-2.53%,47.6,46.9,6698900,01/03/20
SEE,Sealed Air Corp,38.26,-0.61,-1.57%,38.56,38.13,1144600,01/03/20
SHW,Sherwin-Williams Company,564.45,-7.4,-1.29%,571.53,564.29,545200,01/03/20
SIVB,Svb Financial Group,250.33,-3.94,-1.55%,251.12,246.8,476400,01/03/20
SJM,J.M. Smucker Company,102.29,0.15,+0.15%,102.86,101.89,666300,01/03/20
SLB,Schlumberger N.V.,40.56,0.39,+0.97%,41.14,40,9755900,01/03/20
SLG,SL Green Realty Corp,89.26,0.35,+0.39%,89.39,87.7,846500,01/03/20
SNA,Snap-On Inc,167.09,-1.91,-1.13%,167.37,165.24,362400,01/03/20
SNPS,Synopsys Inc,141.76,-1.11,-0.78%,142.09,140.05,834700,01/03/20
SO,Southern Company,62.56,-0.06,-0.10%,62.9,62.42,3531800,01/03/20
SPG,Simon Property Group,145.35,0.26,+0.18%,145.98,144,1308200,01/03/20
SPGI,S&P Global Inc,276.91,-0.93,-0.33%,278.2,274.03,576700,01/03/20
SRE,Sempra Energy,147.76,-1.36,-0.91%,149.43,147.67,1264800,01/03/20
STE,Steris Corp,150.63,-1.07,-0.71%,151.5,149.2,638000,01/03/20
STT,State Street Corp,79.57,-1.19,-1.47%,79.94,79.04,1511000,01/03/20
STX,Seagate Tech Ord Shs,58.91,-1.59,-2.63%,60.05,58.81,1649700,01/03/20
STZ,Constellation Brands Inc,189.53,1.23,+0.65%,189.91,186.27,1311600,01/03/20
SWK,Stanley Black & Decker Inc,167.12,-0.9,-0.54%,167.54,164.83,936900,01/03/20
SWKS,Skyworks Solutions,118.65,-3.02,-2.48%,120.89,117.65,2339600,01/03/20
SYF,Synchrony Financial,35.69,-0.52,-1.44%,35.97,35.55,3993900,01/03/20
SYK,Stryker Corp,209.59,-0.86,-0.41%,210.57,207,801500,01/03/20
SYY,Sysco Corp,84.35,-0.31,-0.37%,84.72,83.93,1759800,01/03/20
T,AT&T Inc,39.06,0.2,+0.51%,39.2,38.57,27416000,01/03/20
TAP,Molson Coors Brewing Company,53.38,-0.16,-0.30%,53.47,52.69,1955300,01/03/20
TDG,Transdigm Group Inc,577.84,10.4,+1.83%,578.41,561.34,278000,01/03/20
TEL,Te Connectivity Ltd,95.37,-1.14,-1.18%,95.57,94.55,1439700,01/03/20
