Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,Apple Inc,297.43,-2.92,-0.97%,300.58,296.5,36633801,01/03/20
ABBV,Abbvie Inc,88.7,-0.85,-0.95%,89.39,87.9,5989400,01/03/20
ABT,Abbott Laboratories,85.89,-1.06,-1.22%,86.67,85.59,4747000,01/03/20
ACN,Accenture Plc,209.8,-0.35,-0.17%,210.63,207,1802000,01/03/20
ADBE,Adobe Systems Inc,331.81,-2.62,-0.78%,332.98,328.69,1579300,01/03/20
AGN,Allergan Plc,191.08,-1.16,-0.60%,192,190.25,2088500,01/03/20
AIG,American International Group,51.36,-0.4,-0.77%,51.47,50.94,2358700,01/03/20
ALL,Allstate Corp,112.83,0.01,+0.01%,113.1,111.77,1047100,01/03/20
AMGN,Amgen Inc,238.47,-1.63,-0.68%,240.26,236.24,1879000,01/03/20
AMZN,Amazon.com Inc,1874.97,-23.04,-1.21%,1886.2,1864.5,3766600,01/03/20
AXP,American Express Company,124.6,-1.25,-0.99%,125.1,123.94,2090600,01/03/20
BA,Boeing Company,332.76,-0.56,-0.17%,334.89,330.3,3878300,01/03/20
BAC,Bank of America Corp,34.9,-0.74,-2.08%,35.15,34.76,50763602,01/03/20
BIIB,Biogen Inc,290.85,-3.39,-1.15%,292.68,290.22,700600,01/03/20
BK,Bank of New York Mellon Corp,50.27,-0.65,-1.28%,50.43,49.8,2276000,01/03/20
BKNG,Booking Holdings Inc,2065.48,-9.1,-0.44%,2067.69,2035,293900,01/03/20
BLK,Blackrock,503.57,-5.41,-1.06%,506.7,501.52,337300,01/03/20
BMY,Bristol-Myers Squibb Company,62.78,-0.56,-0.88%,63.33,62.55,12986699,01/03/20
BRK.B,Berkshire Hathaway Cl B,226.18,-2.21,-0.97%,227.43,225.48,3024000,01/03/20
C,Citigroup Inc,79.7,-1.53,-1.88%,80.51,79.45,12657000,01/03/20
CAT,Caterpillar Inc,148.44,-2.09,-1.39%,149.96,147.45,3100500,01/03/20
CHTR,Charter Communicatio,494.47,4.04,+0.82%,496.59,485.53,974100,01/03/20
CL,Colgate-Palmolive Company,68.02,-0.1,-0.15%,68.47,67.68,3473800,01/03/20
CMCSA,Comcast Corp A,45.01,-0.36,-0.79%,45.22,44.57,20496398,01/03/20
COF,Capital One Financial Corp,102,-1.61,-1.55%,102.51,101.32,1450000,01/03/20
COP,Conocophillips,65.7,0.24,+0.37%,67.13,65.07,6334200,01/03/20
COST,Costco Wholesale,291.73,0.24,+0.08%,292.9,289.33,1926600,01/03/20
CSCO,Cisco Systems Inc,47.63,-0.79,-1.63%,48.13,47.48,15587700,01/03/20
CVS,CVS Corp,73.57,-0.59,-0.80%,74.06,73.07,4454000,01/03/20
CVX,Chevron Corp,121.01,-0.42,-0.35%,122.72,120.74,6361000,01/03/20
DD,Du Pont De.Nemours Inc,62.16,-1.34,-2.11%,62.95,61.88,6005500,01/03/20
DHR,Danaher Corp,154.15,-0.96,-0.62%,155.31,152.43,2329000,01/03/20
DIS,Walt Disney Company,146.5,-1.7,-1.15%,147.9,146.05,7321800,01/03/20
DOW,Dow Inc,52.42,-1.33,-2.47%,53.6,52.41,5004300,01/03/20
DUK,Duke Energy Corp,90.4,0.06,+0.07%,91.07,90.15,2825400,01/03/20
EMR,Emerson Electric Company,76.42,-1.06,-1.37%,76.51,75.56,2672600,01/03/20
EXC,Exelon Corp,45.57,0.14,+0.31%,45.76,45.32,5385500,01/03/20
F,Ford Motor Company,9.21,-0.21,-2.23%,9.37,9.15,45059902,01/03/20
FB,Facebook Inc,208.67,-1.11,-0.53%,210.4,206.95,11197400,01/03/20
FDX,Fedex Corp,153.18,-1.92,-1.24%,153.34,151.84,2218000,01/03/20
GD,General Dynamics Corp,180.18,1.75,+0.98%,180.43,178,1662300,01/03/20
GE,General Electric Company,11.97,0.04,+0.34%,12,11.53,85917102,01/03/20
GILD,Gilead Sciences Inc,65.07,-0.16,-0.25%,65.37,64.56,4689700,01/03/20
GM,General Motors Company,36.32,-1.06,-2.84%,36.92,36.11,9176000,01/03/20
GOOG,Alphabet Cl C,1360.66,-6.71,-0.49%,1372.5,1345.54,1187000,01/03/20
GOOGL,Alphabet Cl A,1361.52,-7.16,-0.52%,1373.75,1347.32,1170600,01/03/20
GS,Goldman Sachs Group,231.58,-2.74,-1.17%,232.61,230.3,2276000,01/03/20
HD,Home Depot,218.93,-0.73,-0.33%,219.68,216.75,3425700,01/03/20
HON,Honeywell International Inc,178.86,-1.93,-1.07%,179.83,177.41,2805200,01/03/20
IBM,International Business Machines,134.34,-1.08,-0.80%,134.86,133.56,2373600,01/03/20
INTC,Intel Corp,60.1,-0.74,-1.22%,60.7,59.81,15298500,01/03/20
JNJ,Johnson & Johnson,144.28,-1.69,-1.16%,145.37,143,5753400,01/03/20
JPM,JP Morgan Chase & Company,138.34,-2.75,-1.95%,139.23,137.08,10387500,01/03/20
KHC,Kraft Heinz Company,31.24,-0.37,-1.17%,31.65,31.22,5012800,01/03/20
KMI,Kinder Morgan,21.2,0.16,+0.76%,21.21,21.02,10148800,01/03/20
KO,Coca-Cola Company,54.69,-0.3,-0.55%,54.99,54.09,11354400,01/03/20
LLY,Eli Lilly and Company,131.77,-0.44,-0.33%,132.47,130.23,1963900,01/03/20
LMT,Lockheed Martin Corp,413.74,14.37,+3.60%,417.17,403,2990500,01/03/20
LOW,Lowe's Companies,119.6,-0.86,-0.71%,119.82,118.05,2774100,01/03/20
MA,Mastercard Inc,300.43,-2.96,-0.98%,302.42,298.6,2501800,01/03/20
MCD,McDonald's Corp,200.08,-0.71,-0.35%,200.55,198.85,2767600,01/03/20
MDLZ,Mondelez Intl Inc,54.24,-0.09,-0.17%,54.57,53.96,6791700,01/03/20
MDT,Medtronic Inc,113.88,-0.68,-0.59%,114.41,113.05,2764800,01/03/20
MET,Metlife Inc,51.09,-0.53,-1.03%,51.15,50.6,5162200,01/03/20
MMM,3M Company,178.45,-1.55,-0.86%,178.66,175.63,2467300,01/03/20
MO,Altria Group,49.63,0.38,+0.77%,49.95,49.16,7850700,01/03/20
MRK,Merck & Company,91.25,-0.79,-0.86%,92.07,90.51,5633300,01/03/20
MS,Morgan Stanley,51.2,-0.84,-1.61%,51.45,50.83,6706700,01/03/20
MSFT,Microsoft Corp,158.62,-2,-1.25%,159.95,158.06,21121600,01/03/20
NEE,Nextera Energy,240.32,1.7,+0.71%,241.36,238.14,1774200,01/03/20
NFLX,Netflix Inc,325.9,-3.91,-1.19%,329.86,325.53,3795400,01/03/20
NKE,Nike Inc,101.92,-0.28,-0.27%,102,100.31,4542000,01/03/20
NVDA,Nvidia Corp,236.07,-3.84,-1.60%,237.83,234.1,5144300,01/03/20
ORCL,Oracle Corp,53.76,-0.19,-0.35%,54.05,52.95,11026699,01/03/20
OXY,Occidental Petroleum Corp,43.61,1.03,+2.42%,44.25,43.17,15099801,01/03/20
PEP,Pepsico Inc,135.63,-0.19,-0.14%,136.79,135.13,4000000,01/03/20
PFE,Pfizer Inc,38.93,-0.21,-0.54%,39.24,38.67,14160500,01/03/20
PG,Procter & Gamble Company,122.58,-0.83,-0.67%,123.53,121.86,7971700,01/03/20
PM,Philip Morris International Inc,85.03,-0.16,-0.19%,85.94,84.86,3806600,01/03/20
PYPL,Paypal Holdings,108.76,-1.99,-1.80%,110.42,108.76,7099900,01/03/20
QCOM,Qualcomm Inc,87.02,-1.67,-1.88%,87.64,86.44,8340899,01/03/20
RTN,Raytheon Company,227.81,3.33,+1.48%,230,225.17,2151700,01/03/20
